Customer Name,Recency,Frequency,Monetary
Casey Wiley,39,5,13436
Casey Williams,161,3,9083
Cassandra Black,92,4,13284
Cassandra Boone,22,6,13259
Cassandra Clark,13,11,38375
Cassandra Cohen,8,6,7840
Cassandra Compton,198,7,20569
Cassandra Contreras,55,7,14056
Cassandra Crawford,442,3,12357
Cassandra Cruz,379,6,12782
Cassandra Daniels,147,6,11998
Cassandra Dunn,256,4,16034
Cassandra Ellis,236,6,14545
Cassandra Foster,478,5,17266
Cassandra Green,1104,2,3913
Cassandra Hahn,560,5,18312
Cassandra Harris,535,5,15632
Cassandra Hernandez,169,5,11758
Cassandra Hill,73,3,5357
Cassandra Hoffman,144,8,25089
Cassandra Horne,76,6,10793
Cassandra Ingram,44,14,42852
Cassandra Johnson,7,5,21770
Cassandra Jones,31,11,28577
Cassandra Jordan,186,7,20281
Cassandra Kelly MD,432,5,11963
Cassandra King,191,5,11910
Cassandra Koch,734,5,17204
Cassandra Lopez,252,4,15260
Cassandra Mcdonald,394,5,17144
Cassandra Miller,121,7,17773
Cassandra Moon,2,6,13945
Cassandra Moran,177,4,9331
Cassandra Nelson,123,6,18435
Cassandra Ortiz,51,5,9574
Cassandra Ponce,515,5,16357
Cassandra Quinn,184,5,18553
Cassandra Roach,165,3,10046
Cassandra Romero,101,7,22652
Cassandra Sanford,131,5,13698
Cassandra Savage,51,7,23272
Cassandra Simon,482,3,9920
Cassandra Smith MD,57,6,12414
Cassandra Taylor,90,11,29934
Cassandra Thompson,161,4,5504
Cassandra Walker,277,9,22558
Cassandra Warner DVM,607,4,7484
Cassandra Weber,58,3,4183
Cassandra Williams,629,5,13273
Cassandra Willis,25,6,17310
Cassandra Wilson,6,4,14005
Cassandra Wood,249,4,10567
Cassandra Wright,687,6,20170
Cassandra Yu,43,7,25574
Cassidy Alexander,77,8,17804
Cassidy Booker,63,7,17511
Cassidy Harrington,461,6,18500
Cassidy Olson,207,5,16287
Cassidy Rowe,155,7,17494
Cassidy Scott,72,8,21231
Cassidy Wagner,161,8,16174
Cassidy Williams,120,8,29452
Cassidy Wu,8,5,11618
Cassie Chandler DVM,790,1,3417
Cassie Lee,159,6,16680
Cassie Miller,367,4,7015
Cassie Rubio,12,8,19146
Cassie Salinas,84,9,29064
Cassie Walton,105,3,2929
Catherine Arroyo,154,4,10573
Catherine Baldwin,163,2,2162
Catherine Baxter,170,7,25387
Catherine Bennett,217,3,7377
Catherine Bowen,36,8,24093
Catherine Bowers,383,4,14252
Catherine Bradford,246,5,16409
Catherine Briggs,105,6,11888
Catherine Brown,44,16,39624
Catherine Carroll,228,5,16215
Catherine Charles,257,5,15802
Catherine Cook,220,4,8097
Catherine Cummings,155,5,13754
Catherine Cunningham,207,5,13064
Catherine Curry,391,4,10484
Catherine Davis,551,4,10783
Catherine Dorsey,94,5,15236
Catherine Douglas,98,7,22930
Catherine Durham,345,5,13471
Catherine Eaton,292,4,14093
Catherine Edwards,170,5,11052
Catherine Ellis,95,3,9886
Catherine Fields,843,1,1566
Catherine Fisher,54,10,28803
Catherine Floyd MD,62,3,5393
Catherine Ford,317,3,12629
Catherine Foster,44,9,27982
Catherine Frank,282,8,20892
Catherine Garcia,24,10,22804
Catherine Gardner,64,9,25834
Catherine Garrett,116,6,14207
Catherine Gibbs,388,4,10881
Catherine Gibson,29,7,20249
Catherine Gomez,819,2,4604
Catherine Goodwin,1,4,16049
Catherine Greene,65,13,25006
Catherine Greer,300,2,5901
Catherine Griffin,490,7,25194
Catherine Gross,1347,1,1505
Catherine Hart,160,4,6238
Catherine Hughes,841,3,6228
Catherine Hunt MD,45,6,16572
Catherine Huynh,350,3,9723
Catherine Jackson,161,3,8693
Catherine Jacobs,53,4,11996
Catherine James,0,5,13013
Catherine Johnson,210,3,9516
Catherine Jones,116,17,47546
Catherine Lopez,2,13,32889
Catherine Lynch,243,5,12548
Catherine Martin,182,4,8251
Catherine Martinez,21,5,19088
Catherine Mayer,702,4,4437
Catherine Mendoza,6,4,13989
Catherine Miller,19,15,44566
Catherine Mills,68,9,26146
Catherine Molina,381,7,19514
Catherine Moody,1269,1,5111
Catherine Morrison,270,5,12328
Catherine Nelson,135,9,27954
Catherine Nguyen,299,5,12888
Catherine Nicholson,7,13,40879
Catherine Norton,139,12,33451
Catherine Parker,299,7,20855
Catherine Parks,330,5,14028
Catherine Pineda,181,6,14396
Catherine Pollard,539,9,29925
Catherine Rivers,79,5,18612
Catherine Roberts,61,6,17103
Catherine Robinson,107,6,18465
Catherine Rodriguez,277,4,15299
Catherine Ross,60,5,8658
Catherine Sanchez,205,7,21542
Catherine Sanders,65,7,19774
Catherine Sawyer,310,6,16562
Catherine Sellers,91,7,18615
Catherine Shah,106,6,14984
Catherine Simmons,638,3,4797
Catherine Smith,145,20,52236
Catherine Snyder,193,6,22818
Catherine Stone,10,3,1272
Catherine Taylor,278,4,13487
Catherine Thompson,111,7,18902
Catherine Torres,460,3,7358
Catherine Trujillo,437,6,11460
Catherine Turner,32,9,26658
Catherine Vargas,39,6,16113
Catherine Vega,37,9,22455
Catherine Velasquez,65,8,19078
Catherine Ward DDS,338,10,31475
Catherine Watts,107,6,11824
Catherine Wells,183,2,5899
Catherine Werner,440,5,14256
Catherine White,275,4,12772
Catherine White MD,66,5,17178
Catherine Williams,16,23,65717
Catherine Williamson,15,9,29886
Catherine Wise,239,4,11391
Catherine Young,217,4,15490
Cathy Anderson,115,9,19777
Cathy Austin,35,9,24047
Cathy Baker,439,4,13643
Cathy Barnes,1144,1,4486
Cathy Brown,42,3,12963
Cathy Cohen,163,5,17370
Cathy Collier,398,4,14800
Cathy Dorsey,595,2,3255
Cathy Gibson,199,3,7991
Cathy Hall,360,6,15628
Cathy Hill,69,6,23515
Cathy Martin,101,9,18872
Cathy Martinez,611,2,3102
Cathy Mccarty,343,4,13603
Cathy Mccoy,210,5,18714
Cathy Miller,90,6,16689
Cathy Morris,546,3,5165
Cathy Nguyen,171,12,27643
Cathy Pearson,86,8,29648
Cathy Prince,517,1,2655
Cathy Ramirez,67,8,30454
Cathy Rodriguez,170,5,13188
Cathy Schwartz,160,9,25151
Cathy Smith,210,7,10047
Cathy Sosa,15,7,27291
Cathy Stanton,109,6,20725
Cathy Stark,396,1,1223
Cathy Suarez,436,3,10098
Cathy Turner,933,3,9901
Cathy Walker MD,347,3,11025
Cathy Williams,301,3,6147
Cesar Cowan,36,7,17486
Cesar Johnson,787,2,6359
Cesar Mayo,243,3,11429
Cesar Moss,75,6,16706
Cesar Porter,170,7,20150
Cesar Quinn DDS,412,6,13914
Cesar Thompson,230,5,13615
Cesar Williams,200,2,7384
Chad Alexander,546,4,12481
Chad Ball,72,5,13487
Chad Bishop,338,6,14710
Chad Boyle,475,3,10816
Chad Brown,879,2,9054
Chad Cervantes,39,7,23559
Chad Cook,87,8,26781
Chad Cooley,79,7,27878
Chad Crawford,601,2,7568
Chad Daugherty,399,7,17845
Chad Davis,183,12,32475
Chad Dean,22,4,11676
Chad Decker,149,8,21290
Chad Dunn,157,4,9754
Chad Eaton,121,4,10800
Chad Fisher,558,5,16526
Chad Fletcher,223,5,14913
Chad Ford,57,3,9088
Chad Foster,291,4,8360
Chad Freeman,60,3,9764
Chad Gamble,298,6,25946
Chad Gilbert,4,5,16421
Chad Gonzalez,151,10,29087
Chad Gordon,170,2,1409
Chad Graham,142,8,20525
Chad Hendrix,177,3,6691
Chad Hernandez Jr.,205,4,12976
Chad Howard,210,1,1677
Chad Huber,519,7,18037
Chad Hughes,400,5,12509
Chad Jackson,99,9,27032
Chad Jacobs,198,5,12337
Chad Johnson,25,13,34585
Chad Jones,17,7,14571
Chad Lewis,535,2,6440
Chad Lynch,385,4,16587
Chad Martin,71,12,33827
Chad Martinez,670,2,5915
Chad Mccarty,157,7,30644
Chad Mcguire DDS,98,6,10284
Chad Meza,33,5,14039
Chad Michael,916,5,14100
Chad Miller,80,7,24647
Chad Moreno,123,6,19560
Chad Munoz,723,1,3370
Chad Myers,94,3,9308
Chad Nguyen,30,5,12511
Chad Olson,200,4,13679
Chad Patterson,276,3,8775
Chad Perkins,169,4,12155
Chad Perry,80,7,20757
Chad Phillips,223,5,13573
Chad Price,17,4,9820
Chad Ramos,486,3,10180
Chad Ray,111,7,15367
Chad Reynolds,1277,1,1958
Chad Robinson,167,8,24919
Chad Rogers,124,3,4345
Chad Russell,66,10,27811
Chad Ryan,573,1,1388
Chad Sanders,476,6,12590
Chad Schneider,166,5,20428
Chad Smith,114,10,23637
Chad Snyder,65,3,8323
Chad Spencer,478,3,9488
Chad Stanton,106,7,16244
Chad Stewart,79,1,868
Chad Sullivan,717,4,11487
Chad Thomas,96,13,40928
Chad Thompson,3,5,15550
Chad Watson,33,8,14416
Chad White,46,11,27970
Chad Williams Jr.,585,5,16214
Chad Willis,66,7,15770
Chad Winters,229,5,17086
Chad Wolfe,223,6,11791
Chad Wu,189,4,10758
Chad Zavala,427,2,5582
Chad Zuniga,125,9,24183
Charlene Evans,17,5,16883
Charlene Golden,200,8,24967
Charlene Gutierrez,637,5,12573
Charlene Harris,39,7,20022
Charlene Jordan,208,2,7641
Charlene Middleton,60,9,18006
Charlene Nelson,659,2,6122
Charlene Norton,835,3,7139
Charlene Rosales,386,4,8368
Charlene Rubio,902,5,13071
Charlene White,693,6,20490
Charles Acevedo,554,3,11466
Charles Acosta,143,4,13437
Charles Allen,172,4,12416
Charles Anthony,51,10,22099
Charles Ayers,545,4,15436
Charles Bailey,176,6,12924
Charles Baker,112,4,10285
Charles Baldwin,471,7,20316
Charles Ballard,43,5,9900
Charles Barton,304,6,13991
Charles Beasley,53,7,17542
Charles Benitez,736,7,15588
Charles Blackburn,534,2,6210
Charles Blake,26,1,4678
Charles Blankenship,116,4,8178
Charles Bowman,86,3,5034
Charles Bradley,211,4,6558
Charles Braun,52,4,9646
Charles Bray,11,4,6603
Charles Brown,59,8,26093
Charles Burns,204,12,22895
Charles Bush,110,9,27616
Charles Butler,240,1,2783
Charles Camacho,227,10,22779
Charles Campbell MD,9,5,7510
Charles Carlson,266,7,24748
Charles Carpenter,247,6,20744
Charles Carroll,539,2,3925
Charles Carter,433,7,17952
Charles Castillo,151,4,7195
Charles Chandler,490,4,13804
Charles Chapman,74,2,5627
Charles Cherry,9,9,32143
Charles Christian PhD,254,4,11837
Charles Church,164,6,17796
Charles Clark,190,14,45367
Charles Collins,78,9,25831
Charles Crawford,70,5,14289
Charles Cruz,141,4,12261
Charles Daniel,372,6,14779
Charles David,604,6,14063
Charles Davidson,45,10,32996
Charles Davis,18,23,69816
Charles Decker,68,16,40627
Charles Deleon,554,1,3879
Charles Dominguez,0,3,6222
Charles Donaldson,58,6,14026
Charles Duffy,59,4,11053
Charles Duncan,26,4,12277
Charles Ellis,502,4,18746
Charles Ellison,33,5,15181
Charles Evans,382,3,7372
Charles Evans Jr.,519,4,8731
Charles Ferguson,476,6,13907
Charles Fernandez,49,3,7566
Charles Fisher,158,2,5147
Charles Ford,276,5,16965
Charles Fowler,54,4,14923
Charles Frey,357,3,8840
Charles Gardner,467,5,14894
Charles Gibson,142,6,17921
Charles Gomez,182,8,21492
Charles Gonzalez,30,18,49403
Charles Gordon,116,5,13945
Charles Gray,206,5,12966
Charles Green,263,10,16455
Charles Greene,36,13,28239
Charles Griffin,620,7,19787
Charles Guzman,174,4,8396
Charles Hall,656,4,11054
Charles Hall MD,22,9,24920
Charles Hansen,103,4,8225
Charles Harper,251,9,26379
Charles Harrell,267,10,26934
Charles Harrington,137,3,11173
Charles Harris MD,560,3,10070
Charles Harrison,186,5,11774
Charles Hawkins,221,7,17435
Charles Hayes,24,7,18261
Charles Henry,108,8,25804
Charles Hernandez,12,13,43437
Charles Hines,941,3,8388
Charles Hodge,67,11,33369
Charles Hoffman,627,2,5497
Charles Holt,146,10,28027
Charles Huff,1,9,27059
Charles Hughes,190,9,21826
Charles Jackson,168,5,15589
Charles Jimenez,212,7,21382
Charles Johnson,71,35,102676
Charles Jones,8,22,60903
Charles Kane,2,8,19833
Charles Kelly,362,9,29568
Charles King,369,4,10654
Charles Kirk,394,3,11393
Charles Knight,580,2,9877
Charles Lara,76,4,9046
Charles Lee,292,20,53046
Charles Lewis,244,4,4333
Charles Lopez,12,12,34851
Charles Love,322,5,9222
Charles Lozano,307,3,8001
Charles Luna,136,4,9412
Charles Martin,26,13,37747
Charles Martinez,162,6,18697
Charles Mccarthy DDS,235,6,12865
Charles Mccoy,454,6,13388
Charles Mcdonald,29,9,23520
Charles Mclaughlin,25,8,25731
Charles Medina DDS,169,8,16914
Charles Mendez,455,7,21208
Charles Miller,41,8,25880
Charles Mills,78,8,17571
Charles Moore,189,7,17673
Charles Mora,58,6,13028
Charles Moreno,602,2,8841
Charles Morris,448,3,8445
Charles Mueller,396,11,23754
Charles Myers,66,3,5799
Charles Nelson,104,5,16088
Charles Nguyen,116,5,17934
Charles Oconnor,954,3,9243
Charles Odom,242,6,10847
Charles Olson,150,5,11731
Charles Ortiz,52,6,16578
Charles Park,420,2,7915
Charles Parker,163,6,14217
Charles Pennington,61,5,17301
Charles Pollard,292,7,18971
Charles Price,61,2,5605
Charles Price Jr.,490,2,8421
Charles Pruitt,189,5,12652
Charles Reynolds,101,6,17973
Charles Rice,92,10,24744
Charles Richardson,436,3,5416
Charles Riley,179,13,29514
Charles Robinson,36,7,28457
Charles Rodriguez,140,17,43381
Charles Rogers,98,7,24383
Charles Romero,340,7,20105
Charles Roth,434,6,12747
Charles Ryan,36,9,25551
Charles Simmons,33,9,26937
Charles Singleton,354,8,21745
Charles Smith,86,24,67874
Charles Sparks,371,5,10066
Charles Stein,218,5,16044
Charles Stone,114,5,11762
Charles Strickland,130,5,15823
Charles Sullivan,10,7,16370
Charles Summers,378,4,8477
Charles Swanson,616,4,13536
Charles Thomas,67,7,25913
Charles Thompson,8,5,16018
Charles Todd,44,4,10598
Charles Torres,142,6,17602
Charles Tran,338,7,15792
Charles Tyler,43,14,39443
Charles Vance,340,7,24543
Charles Velazquez,262,2,3982
Charles Wagner,55,8,11896
Charles Walker,62,17,53816
Charles Wallace,103,8,20941
Charles Wang,80,9,21694
Charles Warren,12,7,20943
Charles Washington,206,6,19818
Charles Watson,172,5,16308
Charles Weiss,470,3,7971
Charles West,14,3,9997
Charles Wiley,320,2,5529
Charles Williams,32,38,108715
Charles Wilson,23,5,17728
Charles Wong,854,3,9003
Charles Woods,165,5,17910
Charles Woodward,330,7,25369
Charles Wright,559,3,6295
Charles Young,2,11,35357
Charlotte Bates,202,4,9622
Charlotte Bell,138,10,28153
Charlotte Carter,41,4,14330
Charlotte Dodson,132,6,17504
Charlotte Foster,232,6,19316
Charlotte Jones,191,6,14582
Charlotte Reilly,375,6,17141
Chase Andrade,54,4,7169
Chase Beasley,546,3,5449
Chase Bentley,3,8,18742
Chase Bishop,428,4,8548
Chase Chan,125,7,24008
Chase Cook,108,5,17211
Chase Cummings,190,3,4847
Chase Hart,165,6,16500
Chase Hernandez,14,3,4317
Chase Hudson,106,6,14395
Chase Hurst MD,320,6,19382
Chase Lewis,130,5,14195
Chase Mills,628,4,10260
Chase Mitchell,37,6,16709
Chase Perkins,47,4,9988
Chase Robertson,249,5,15408
Chase Smith,176,8,24920
Chase Stevens,307,9,28666
Chase Stewart,117,5,15780
Chase Warren,27,6,13301
Chase Wright II,67,6,16516
Chelsea Acevedo,20,4,14701
Chelsea Allen,454,1,3205
Chelsea Berger,408,3,5603
Chelsea Brewer,302,8,17560
Chelsea Brown,750,4,9636
Chelsea Cain,6,5,18171
Chelsea Carlson,121,4,14943
Chelsea Clarke,122,6,15521
Chelsea Davis,482,2,8155
Chelsea Ellison,78,5,14864
Chelsea Fletcher,310,7,23467
Chelsea Fritz,186,5,15168
Chelsea Gonzalez,18,3,8594
Chelsea Grant,608,6,17518
Chelsea Haley,42,4,5222
Chelsea Herman,370,3,5537
Chelsea Higgins,231,11,32932
Chelsea Howell,24,15,35178
Chelsea Jackson,65,9,26445
Chelsea Jennings,38,5,10447
Chelsea Jones,8,11,26160
Chelsea Klein,38,7,19813
Chelsea Lee,10,4,7191
Chelsea Mann,93,7,22254
Chelsea Medina,235,7,15530
Chelsea Oneill,684,3,10550
Chelsea Orr,52,2,6802
Chelsea Ortiz,29,6,13746
Chelsea Petty,116,6,14978
Chelsea Ramirez,275,4,16241
Chelsea Rasmussen,51,2,3029
Chelsea Roberts,520,6,22605
Chelsea Robles,216,2,5218
Chelsea Salinas,425,4,9710
Chelsea Shields,193,7,21976
Chelsea Tate,530,5,11612
Chelsea Taylor,131,4,11805
Chelsea Thomas,22,5,15572
Chelsea Thompson,192,3,3076
Chelsea Wallace,333,5,12741
Chelsea Walters,230,6,16580
Chelsea Ward,82,3,11589
Chelsea Watson,733,2,6326
Chelsea Wiggins,542,5,9582
Chelsea Williams,227,5,12045
Chelsey Adams,434,6,13944
Chelsey Brown,179,5,13529
Chelsey Casey,490,3,10563
Chelsey Curry,99,3,9745
Chelsey Harris,512,4,18118
Chelsey Hunter,374,8,24107
Chelsey Johnson MD,77,4,10590
Chelsey Montes,24,6,20085
Chelsey Mosley,166,4,12632
Chelsey Smith,12,7,17506
Cheryl Aguilar,897,3,5454
Cheryl Alvarado,63,8,26491
Cheryl Alvarez,56,2,4874
Cheryl Anderson,364,6,15107
Cheryl Bailey MD,192,7,13782
Cheryl Baxter,102,9,19452
Cheryl Brock,78,10,22606
Cheryl Brown,317,14,29903
Cheryl Campbell,231,2,2715
Cheryl Campos,220,4,11156
Cheryl Carney,276,7,14444
Cheryl Carr,283,3,11333
Cheryl Carroll,250,7,23827
Cheryl Castro,690,5,11348
Cheryl Charles,784,2,6146
Cheryl Chung,174,5,15440
Cheryl Collier,164,6,16739
Cheryl Collins,460,3,6913
Cheryl Cook,135,5,11173
Cheryl Cortez,621,1,3281
Cheryl Cruz,114,3,9696
Cheryl Davenport,277,6,7351
Cheryl Davis,194,1,3190
Cheryl Diaz,693,4,10997
Cheryl Dominguez,30,7,16540
Cheryl Evans,37,11,23360
Cheryl Everett,75,3,10262
Cheryl Freeman,974,1,256
Cheryl Frye,691,4,12073
Cheryl Fuller,365,4,14501
Cheryl Garcia,93,7,18871
Cheryl Garrison,619,4,10611
Cheryl Gilbert,222,3,4173
Cheryl Gillespie,178,7,20921
Cheryl Gomez,158,9,28791
Cheryl Gould,125,6,8876
Cheryl Grant,139,7,17150
Cheryl Green,8,4,12700
Cheryl Hale,130,6,16047
Cheryl Haley,45,3,5673
Cheryl Harper,211,9,32997
Cheryl Henry,112,4,14172
Cheryl Hernandez,105,3,11036
Cheryl Hill,148,9,20985
Cheryl Holt,750,2,3476
Cheryl Jackson,145,4,10582
Cheryl Jenkins,95,12,26079
Cheryl Johnson,369,7,22027
Cheryl Jones,112,6,12933
Cheryl Juarez,123,5,14123
Cheryl Knight,128,13,38048
Cheryl Leon,100,5,14432
Cheryl Lewis,216,7,21172
Cheryl Martinez,526,4,9416
Cheryl Mcgrath,250,6,15678
Cheryl Mcknight,41,4,6629
Cheryl Meyer,288,8,21038
Cheryl Miller,39,6,16044
Cheryl Monroe,522,4,9897
Cheryl Morris,89,3,11604
Cheryl Nelson,379,8,24176
Cheryl Obrien,137,5,16121
Cheryl Olson,45,6,15393
Cheryl Parks,80,4,15825
Cheryl Peterson,71,9,24539
Cheryl Petty,102,8,18912
Cheryl Quinn,2,6,20331
Cheryl Ramsey,133,5,15323
Cheryl Ray,124,6,23986
Cheryl Reynolds,123,9,20731
Cheryl Rhodes,223,5,12509
Cheryl Richardson,135,7,17309
Cheryl Robertson,44,16,35837
Cheryl Rodriguez,53,7,11502
Cheryl Rodriguez DVM,40,6,25124
Cheryl Ruiz,76,3,6904
Cheryl Salazar,369,4,11132
Cheryl Smith,50,14,40037
Cheryl Sutton,530,3,1701
Cheryl Terry,701,2,3908
Cheryl Thompson,838,4,10484
Cheryl Townsend,574,6,19998
Cheryl Tran,242,8,18298
Cheryl Turner,352,5,16825
Cheryl Vargas,1008,3,4515
Cheryl Warner,751,1,3147
Cheryl Washington,328,7,21318
Cheryl Watkins,46,6,14739
Cheryl Wilson,248,7,23481
Cheryl Wolf,196,5,9620
Cheryl Woods,427,3,9945
Cheryl Wright,59,6,15946
Cheyenne Anderson,63,4,8117
Cheyenne Calderon,385,5,15471
Cheyenne Chung,94,6,18594
Cheyenne Cole,6,9,21935
Cheyenne Henderson,231,4,9053
Cheyenne Hernandez,216,7,27307
Cheyenne Matthews,838,3,6908
Cheyenne Morris,410,3,12704
Cheyenne Paul,120,4,11289
Cheyenne Richardson,32,5,14648
Cheyenne Scott,155,8,23482
Cheyenne Sharp,402,3,9959
Cheyenne Shields,73,8,19919
Cheyenne Smith,45,6,14736
Cheyenne Sweeney,96,6,17891
Cheyenne Thomas,117,5,13991
Cheyenne Torres,95,8,24036
Chloe Arroyo,272,9,21898
Chloe Brown,203,7,21452
Chloe Ellis,63,4,15770
Chloe Flores,504,6,19288
Chloe Goodman,1205,1,221
Chloe Green,30,6,20314
Chloe Hawkins,144,6,20569
Chloe Jones,40,6,18956
Chloe King,468,3,8458
Chloe Mendoza,177,6,15502
Chloe Norris,111,7,16596
Chloe Smith,229,1,507
Chloe Woods,133,7,19379
Chris Brown,402,4,7418
Chris Burke,277,12,33316
Chris Byrd,191,6,14469
Chris Campos,180,6,11309
Chris Carter,268,10,24418
Chris Castro,307,6,13291
Chris Chapman,244,7,19934
Chris Clements III,525,4,10125
Chris Cline,214,5,16558
Chris Dalton,44,4,8776
Chris Delgado,585,1,2442
Chris Ellis,473,5,11313
Chris Gallegos,189,5,13348
Chris Green,140,6,10694
Chris Hendricks,617,1,2855
Chris Hendrix,122,7,22603
Chris Luna,297,4,10078
Chris Miller,172,5,12579
Chris Mitchell,174,9,20483
Chris Mooney,193,9,27441
Chris Novak,27,4,5609
Chris Ortiz MD,140,4,11142
Chris Patel,631,4,5084
Chris Rose,458,3,9475
Chris Santiago,818,2,7458
Chris Silva MD,255,8,20099
Chris Smith,23,3,8354
Chris Taylor,456,5,17172
Chris Travis,161,4,9889
Chris Walker,76,5,11929
Chris Wang,529,1,1682
Chris Weaver,31,3,10444
Chris West,120,7,21156
Chris Williams,48,4,5877
Chris Wolfe,16,4,8838
Chris Wright,281,3,8282
Chris York,466,3,5776
Christian Allen,297,3,9722
Christian Alvarez,673,3,8401
Christian Ayers,459,5,11620
Christian Baker,28,6,14913
Christian Barker,82,5,18035
Christian Barnett,170,4,12406
Christian Becker,412,7,18478
Christian Brooks,573,4,9867
Christian Brown,69,14,44352
Christian Buckley,671,6,20115
Christian Burnett,69,6,15175
Christian Caldwell,491,3,6504
Christian Campbell,149,2,5818
Christian Chandler,180,6,17926
Christian Clark,266,8,21533
Christian Cook,14,5,9334
Christian Cox,342,3,10352
Christian Douglas,133,4,9543
Christian Duncan,291,7,21705
Christian English,53,3,5120
Christian Fuller,40,5,13231
Christian Gallagher,584,7,24375
Christian Garcia,69,5,16005
Christian Gonzalez,535,6,18031
Christian Goodwin,378,3,3751
Christian Gordon,169,5,13674
Christian Green,796,4,8075
Christian Greene,9,10,26113
Christian Hale,552,6,20037
Christian Hall,10,4,13860
Christian Hanson,361,2,7667
Christian Harris,162,2,7029
Christian Hernandez,80,6,11480
Christian Hill,84,17,41101
Christian Hughes,536,3,5726
Christian Lamb,265,5,11880
Christian Lopez,354,5,11550
Christian Manning,27,8,29931
Christian Marshall,211,5,13034
Christian Martinez,7,4,10923
Christian May,394,5,18459
Christian Michael,67,8,21150
Christian Miller,143,10,21818
Christian Montoya,431,6,16626
Christian Nielsen,157,4,9728
Christian Nixon,145,6,17099
Christian Oneal,67,5,13255
Christian Park,362,5,9774
Christian Ponce,261,8,23816
Christian Ramos,255,2,8347
Christian Randall,121,11,33359
Christian Ray,116,5,10800
Christian Richmond,58,6,21645
Christian Rodriguez,129,5,12985
Christian Rogers,148,4,13289
Christian Saunders,193,7,19620
Christian Shepard,253,6,13247
Christian Smith,22,23,58087
Christian Spears,385,5,12088
Christian Thompson,525,4,8769
Christian Turner,6,5,14352
Christian Walker,34,4,8297
Christian Wang,467,5,13709
Christian Ward,431,4,11090
Christian Washington,294,8,18368
Christian Watson,199,6,11811
Christie Guzman,339,5,14999
Christie Ingram,79,5,7620
Christie Obrien,783,3,6541
Christie Perry,440,5,9497
Christie Turner,182,3,8465
Christie Wood,452,4,10314
Christina Adams,1076,2,3874
Christina Aguirre,434,3,7381
Christina Allen,303,7,19015
Christina Andersen,116,5,16115
Christina Barnes,394,4,10857
Christina Bates,226,5,11817
Christina Berry,19,11,23558
Christina Bradley,428,9,20702
Christina Branch,131,9,18180
Christina Brewer,104,4,12422
Christina Brown,201,2,5567
Christina Buck,205,3,6957
Christina Cannon,130,3,5126
Christina Chan,158,8,24738
Christina Chapman,264,4,12147
Christina Charles,132,5,18363
Christina Chavez,619,3,7115
Christina Chen,749,2,7201
Christina Cline,51,5,17953
Christina Collins,66,7,21543
Christina Costa DVM,223,2,1899
Christina Cox,10,6,10159
Christina Crawford,149,6,12123
Christina Crosby,87,9,26741
Christina Cruz,176,8,15749
Christina Daniels,90,5,15283
Christina Davidson,34,3,12616
Christina Davis,40,12,31121
Christina Day,172,3,6380
Christina Delgado,278,15,40746
Christina Dyer,178,2,2990
Christina Ellison,73,3,8980
Christina Esparza,1271,1,2103
Christina Fisher,343,8,17885
Christina Fitzgerald,324,6,22378
Christina Flores,354,5,15403
Christina Foster,79,19,58195
Christina Fox,54,11,33091
Christina Frederick,261,4,8450
Christina Friedman,483,4,14349
Christina Garcia,43,9,26236
Christina George,727,3,8338
Christina Gilbert,67,5,14460
Christina Gonzalez,4,9,27635
Christina Gordon,352,6,9567
Christina Gould,221,4,8005
Christina Gray,58,6,16949
Christina Green,849,4,16400
Christina Griffin,41,11,26471
Christina Hall,38,12,30264
Christina Hamilton,2,5,8523
Christina Harding,202,8,16740
Christina Harris,331,10,28964
Christina Hayes,220,2,7211
Christina Hernandez,163,6,13706
Christina Hickman,285,5,13850
Christina Holland,341,4,8690
Christina Holt,195,7,19621
Christina Howard,401,7,20172
Christina Hurst,720,1,1590
Christina Jackson,12,7,19194
Christina Jacobson,211,5,15077
Christina Jarvis,73,7,27544
Christina Jenkins,129,6,15010
Christina Johnson,90,13,27706
Christina Johnston,99,9,35015
Christina Jones,40,10,29237
Christina Kane,111,9,22041
Christina Kennedy,145,5,15672
Christina Kerr,451,7,18319
Christina King,25,5,7422
Christina Knight,186,4,16691
Christina Kramer,69,8,14932
Christina Lee,9,12,23517
Christina Lester,126,4,10406
Christina Lewis,146,7,19207
Christina Little,51,4,14983
Christina Lopez,43,12,38417
Christina Madden,156,5,16328
Christina Marshall,101,5,12168
Christina Mcbride,149,4,6930
Christina Mcmillan,28,6,17176
Christina Medina,204,9,22502
Christina Miller,180,18,46120
Christina Moore,140,11,30944
Christina Moreno,596,5,10048
Christina Morgan,389,5,7268
Christina Morris,6,12,28466
Christina Morrison,161,6,19044
Christina Morton,460,2,5015
Christina Murphy,219,3,6768
Christina Nguyen,8,11,41269
Christina Nielsen,272,8,16489
Christina Norman,623,5,7087
Christina Oconnor,19,12,29991
Christina Oneill,449,5,16899
Christina Ortiz,94,13,39094
Christina Patterson,146,5,11079
Christina Patton DDS,484,5,19759
Christina Pena,251,6,25693
Christina Perez,41,11,26523
Christina Phelps,400,7,21027
Christina Phillips,94,7,16732
Christina Pittman,139,9,23908
Christina Powell,503,5,7930
Christina Powers,63,7,23673
Christina Pratt,133,5,10849
Christina Price,95,6,15587
Christina Pruitt,435,4,11080
Christina Quinn,573,6,17507
Christina Reilly,944,4,14048
Christina Reyes,364,1,4102
Christina Rios,279,5,11447
Christina Rivera,184,8,15858
Christina Roberson DDS,70,7,14806
