Customer Name,Total Spending,Customer Tenure,Returns,Churn
Chad Dunn,3874,743,1.0,0
Chad Eaton,1854,851,3.0,0
Chad Fisher,5424,1200,3.0,0
Chad Fletcher,5650,1245,4.0,0
Chad Ford,1900,1084,2.0,0
Chad Foster,4116,1011,0.0,0
Chad Freeman,2412,1214,2.0,0
Chad Gamble,4807,1342,2.0,0
Chad Gilbert,2487,1316,2.0,0
Chad Gonzalez,9412,1213,4.0,1
Chad Gordon,842,592,0.0,0
Chad Graham,7380,1165,3.0,1
Chad Hendrix,1852,789,2.0,0
Chad Hernandez Jr.,2552,1002,2.0,1
Chad Howard,2270,210,1.0,0
Chad Huber,7500,1323,4.0,0
Chad Hughes,5456,1347,3.0,0
Chad Jackson,8637,1326,3.0,1
Chad Jacobs,3294,1268,2.0,0
Chad Johnson,14252,1313,6.0,0
Chad Jones,5917,1114,2.0,1
Chad Lewis,2602,1117,0.0,0
Chad Lynch,2799,865,2.0,0
Chad Martin,9639,1204,4.0,1
Chad Martinez,2647,1305,1.0,0
Chad Mccarty,5114,1180,2.0,0
Chad Mcguire DDS,8032,1316,2.0,0
Chad Meza,3445,824,4.0,0
Chad Michael,2648,1210,3.0,0
Chad Miller,6858,1284,4.0,1
Chad Moreno,3435,1337,1.0,0
Chad Munoz,134,723,0.0,0
Chad Myers,1582,1237,2.0,0
Chad Nguyen,3898,747,3.0,0
Chad Olson,3138,1269,1.0,0
Chad Patterson,1380,425,1.0,0
Chad Perkins,2336,1119,2.0,0
Chad Perry,4299,911,3.0,0
Chad Phillips,4650,1229,3.0,0
Chad Price,2173,854,0.0,0
Chad Ramos,1758,874,1.0,1
Chad Ray,4122,1230,5.0,0
Chad Reynolds,276,1277,1.0,0
Chad Robinson,7792,1298,3.0,1
Chad Rogers,703,1261,0.0,0
Chad Russell,8562,1319,4.0,0
Chad Ryan,65,573,0.0,0
Chad Sanders,7718,1264,1.0,0
Chad Schneider,1887,1243,3.0,0
Chad Smith,7933,1105,6.0,1
Chad Snyder,1211,551,3.0,0
Chad Spencer,4175,1074,2.0,0
Chad Stanton,7247,1325,1.0,0
Chad Stewart,606,79,1.0,0
Chad Sullivan,1833,1320,3.0,0
Chad Thomas,9229,1247,5.0,0
Chad Thompson,2528,1306,2.0,0
Chad Watson,6687,1283,4.0,1
Chad White,7881,1265,4.0,0
Chad Williams Jr.,1809,1237,1.0,0
Chad Willis,5238,1255,2.0,0
Chad Winters,2644,1306,3.0,0
Chad Wolfe,5033,1315,2.0,0
Chad Wu,3713,1085,1.0,0
Chad Zavala,3210,741,1.0,0
Chad Zuniga,5060,1259,1.0,0
Charlene Evans,3977,958,4.0,1
Charlene Golden,6282,1347,2.0,0
Charlene Gutierrez,4562,1331,2.0,0
Charlene Harris,5570,1337,0.0,0
Charlene Jordan,738,519,2.0,1
Charlene Middleton,6517,1072,4.0,1
Charlene Nelson,1531,1000,0.0,0
Charlene Norton,2824,1050,3.0,0
Charlene Rosales,3195,1342,1.0,0
Charlene Rubio,3011,1270,3.0,0
Charlene White,8424,1294,2.0,0
Charles Acevedo,2023,1339,2.0,1
Charles Acosta,1716,1218,1.0,0
Charles Allen,4205,1278,2.0,1
Charles Anthony,7554,934,5.0,0
Charles Ayers,2485,1332,1.0,0
Charles Bailey,7565,1324,4.0,0
Charles Baker,3359,1322,3.0,1
Charles Baldwin,6547,1318,2.0,0
Charles Ballard,4339,1217,4.0,0
Charles Barton,2945,1256,0.0,0
Charles Beasley,7541,946,5.0,1
Charles Benitez,4462,1026,2.0,0
Charles Blackburn,882,606,2.0,0
Charles Blake,180,26,1.0,0
Charles Blankenship,2492,1195,2.0,0
Charles Bowman,1691,418,1.0,0
Charles Bradley,1245,1260,1.0,1
Charles Braun,2729,631,1.0,1
Charles Bray,3625,1148,1.0,0
Charles Brown,5714,1273,3.0,1
Charles Burns,8608,1333,3.0,1
Charles Bush,8221,1319,6.0,1
Charles Butler,428,240,1.0,0
Charles Camacho,7310,1274,3.0,0
Charles Campbell MD,6323,1008,1.0,0
Charles Carlson,5128,1301,2.0,1
Charles Carpenter,4331,982,1.0,0
Charles Carroll,1866,635,0.0,0
Charles Carter,7801,1264,2.0,0
Charles Castillo,2402,1126,0.0,0
Charles Chandler,3373,1198,3.0,0
Charles Chapman,1888,1058,1.0,0
Charles Cherry,6713,1259,5.0,0
Charles Christian PhD,2103,1011,2.0,0
Charles Church,6029,1290,2.0,0
Charles Clark,9992,1032,5.0,1
Charles Collins,4934,1004,4.0,1
Charles Crawford,3619,1348,2.0,0
Charles Cruz,4121,1005,2.0,0
Charles Daniel,4356,1225,3.0,1
Charles David,7855,1095,1.0,0
Charles Davidson,5383,1150,5.0,1
Charles Davis,15353,1296,7.0,1
Charles Decker,9517,1336,6.0,0
Charles Deleon,200,554,0.0,1
Charles Dominguez,2244,413,1.0,0
Charles Donaldson,2600,1135,2.0,0
Charles Duffy,4835,1300,0.0,0
Charles Duncan,5470,757,2.0,0
Charles Ellis,3585,1139,1.0,0
Charles Ellison,2566,1214,2.0,0
Charles Evans,2377,1134,1.0,0
Charles Evans Jr.,6420,1182,0.0,0
Charles Ferguson,4113,1142,1.0,1
Charles Fernandez,2329,1233,2.0,0
Charles Fisher,486,790,1.0,0
Charles Ford,3428,1215,2.0,0
Charles Fowler,4105,686,1.0,0
Charles Frey,3743,1247,2.0,1
Charles Gardner,5300,1263,1.0,0
Charles Gibson,2713,1170,1.0,1
Charles Gomez,5779,1327,0.0,0
Charles Gonzalez,12088,1266,11.0,0
Charles Gordon,5057,252,0.0,0
Charles Gray,4204,991,2.0,0
Charles Green,7169,1105,4.0,0
Charles Greene,10881,1309,5.0,0
Charles Griffin,3904,1321,4.0,0
Charles Guzman,2236,790,1.0,0
Charles Hall,2107,1141,2.0,1
Charles Hall MD,6089,1291,5.0,0
Charles Hansen,1308,289,0.0,0
Charles Harper,6974,1279,1.0,1
Charles Harrell,9199,1247,5.0,1
Charles Harrington,1935,1090,2.0,0
Charles Harris MD,1844,1259,0.0,0
Charles Harrison,6078,1334,3.0,0
Charles Hawkins,4550,1141,3.0,0
Charles Hayes,5079,1288,5.0,0
Charles Henry,8404,1345,4.0,1
Charles Hernandez,9723,1040,6.0,0
Charles Hines,1547,1262,1.0,0
Charles Hodge,8322,1258,4.0,0
Charles Hoffman,1361,657,0.0,0
Charles Holt,6593,1291,4.0,1
Charles Huff,8518,1253,3.0,1
Charles Hughes,10425,1277,5.0,0
Charles Jackson,5203,872,3.0,0
Charles Jimenez,6164,988,3.0,1
Charles Johnson,22160,1341,16.0,1
Charles Jones,17000,1343,7.0,1
Charles Kane,5595,1030,5.0,0
Charles Kelly,4719,1195,3.0,0
Charles King,4464,1003,1.0,0
Charles Kirk,2716,1223,2.0,0
Charles Knight,1017,720,2.0,1
Charles Lara,2105,1008,1.0,0
Charles Lee,17090,1031,9.0,0
Charles Lewis,1995,1335,2.0,0
Charles Lopez,10665,1297,4.0,1
Charles Love,3946,1281,1.0,0
Charles Lozano,1191,531,1.0,0
Charles Luna,2482,1247,1.0,0
Charles Martin,10420,1251,8.0,0
Charles Martinez,5880,1143,1.0,0
Charles Mccarthy DDS,2714,1041,2.0,0
Charles Mccoy,2282,1289,3.0,0
Charles Mcdonald,5505,884,4.0,1
Charles Mclaughlin,7379,1167,4.0,1
Charles Medina DDS,6962,1108,5.0,0
Charles Mendez,6738,1299,4.0,0
Charles Miller,7731,1190,3.0,1
Charles Mills,4367,1201,2.0,1
Charles Moore,6751,1205,2.0,0
Charles Mora,4417,1057,3.0,0
Charles Moreno,2338,1305,1.0,0
Charles Morris,1334,846,2.0,0
Charles Mueller,6353,1267,4.0,0
Charles Myers,2757,929,2.0,0
Charles Nelson,3040,953,3.0,0
Charles Nguyen,3700,1312,1.0,0
Charles Oconnor,3981,1218,1.0,1
Charles Odom,2876,1193,2.0,1
Charles Olson,4679,1228,2.0,1
Charles Ortiz,4153,1280,6.0,0
Charles Park,545,507,0.0,0
Charles Parker,8084,1277,5.0,1
Charles Pennington,5193,1268,1.0,0
Charles Pollard,5026,923,3.0,0
Charles Price,931,342,0.0,1
Charles Price Jr.,349,1299,1.0,1
Charles Pruitt,5347,1273,3.0,0
Charles Reynolds,6242,1212,3.0,0
Charles Rice,7333,1231,3.0,1
Charles Richardson,2664,659,1.0,0
Charles Riley,7470,1341,4.0,0
Charles Robinson,8216,1346,3.0,0
Charles Rodriguez,12203,1075,6.0,0
Charles Rogers,3340,1222,4.0,0
Charles Romero,4629,1020,5.0,0
Charles Roth,5213,1262,3.0,0
Charles Ryan,5494,1324,7.0,0
Charles Simmons,10011,1258,4.0,0
Charles Singleton,10134,1338,4.0,1
Charles Smith,19750,1253,12.0,1
Charles Sparks,7037,1319,2.0,1
Charles Stein,4152,1348,1.0,0
Charles Stone,4048,1240,4.0,0
Charles Strickland,6377,546,1.0,0
Charles Sullivan,6964,1061,4.0,0
Charles Summers,1853,1348,3.0,0
Charles Swanson,2053,1304,0.0,0
Charles Thomas,3654,1312,2.0,1
Charles Thompson,3490,1138,1.0,0
Charles Todd,3042,1214,0.0,0
Charles Torres,3828,1223,2.0,1
Charles Tran,4377,1099,2.0,0
Charles Tyler,10171,1327,7.0,1
Charles Vance,5075,1010,3.0,1
Charles Velazquez,740,1283,1.0,0
Charles Wagner,7926,1205,3.0,0
Charles Walker,12237,1235,9.0,1
Charles Wallace,8302,1199,5.0,1
Charles Wang,5980,1240,2.0,1
Charles Warren,5089,1232,3.0,0
Charles Washington,7477,1203,3.0,1
Charles Watson,4995,1232,2.0,1
Charles Weiss,2693,1230,1.0,0
Charles West,969,824,2.0,0
Charles Wiley,509,857,0.0,0
Charles Williams,28038,1330,16.0,1
Charles Wilson,2626,1253,0.0,0
Charles Wong,846,1353,1.0,0
Charles Woods,4898,864,3.0,0
Charles Woodward,3408,1335,4.0,0
Charles Wright,1734,928,1.0,0
Charles Young,7893,1047,5.0,0
Charlotte Bates,1209,1055,2.0,1
Charlotte Bell,7935,1237,5.0,1
Charlotte Carter,5555,1204,0.0,0
Charlotte Dodson,5292,1233,4.0,0
Charlotte Foster,6281,1164,3.0,0
Charlotte Jones,4741,862,1.0,0
Charlotte Reilly,4449,1297,3.0,0
Chase Andrade,3477,622,1.0,0
Chase Beasley,1111,1130,2.0,0
Chase Bentley,7995,1196,3.0,0
Chase Bishop,4683,1332,0.0,0
Chase Chan,3491,1142,3.0,0
Chase Cook,3389,1165,3.0,0
Chase Cummings,2591,957,1.0,0
Chase Hart,2298,1336,0.0,0
Chase Hernandez,3704,1071,1.0,1
Chase Hudson,4738,1232,3.0,0
Chase Hurst MD,3951,1298,3.0,0
Chase Lewis,3343,1335,1.0,0
Chase Mills,3260,1010,0.0,1
Chase Mitchell,3341,1126,2.0,0
Chase Perkins,3083,374,0.0,0
Chase Robertson,2281,778,3.0,0
Chase Smith,5751,1135,2.0,0
Chase Stevens,8912,1120,3.0,0
Chase Stewart,5176,923,0.0,0
Chase Warren,5954,933,2.0,0
Chase Wright II,3060,1021,3.0,0
Chelsea Acevedo,2585,1133,1.0,0
Chelsea Allen,2080,454,0.0,1
Chelsea Berger,1056,847,2.0,0
Chelsea Brewer,5085,1334,4.0,0
Chelsea Brown,3027,1193,2.0,0
Chelsea Cain,3356,518,4.0,0
Chelsea Carlson,2932,1205,0.0,0
Chelsea Clarke,4795,1135,3.0,0
Chelsea Davis,1568,1017,1.0,0
Chelsea Ellison,3765,1353,2.0,0
Chelsea Fletcher,5150,1345,2.0,1
Chelsea Fritz,5360,1066,3.0,0
Chelsea Gonzalez,1243,676,1.0,0
Chelsea Grant,4290,1306,2.0,0
Chelsea Haley,2785,975,3.0,0
Chelsea Herman,1781,729,1.0,0
Chelsea Higgins,7172,1076,5.0,0
Chelsea Howell,14164,1005,6.0,0
Chelsea Jackson,9012,1260,5.0,0
Chelsea Jennings,5240,1173,3.0,0
Chelsea Jones,10725,1332,7.0,0
Chelsea Klein,4360,918,4.0,0
Chelsea Lee,4329,922,1.0,1
Chelsea Mann,4924,1121,2.0,0
Chelsea Medina,3209,1257,4.0,0
Chelsea Oneill,1039,1138,1.0,0
Chelsea Orr,1716,209,2.0,0
Chelsea Ortiz,3733,598,4.0,0
Chelsea Petty,2852,1187,3.0,0
Chelsea Ramirez,2104,936,0.0,0
Chelsea Rasmussen,1254,71,1.0,0
Chelsea Roberts,5600,1225,5.0,0
Chelsea Robles,561,294,1.0,0
Chelsea Salinas,4813,1143,1.0,0
Chelsea Shields,5247,1326,4.0,0
Chelsea Tate,3562,1332,1.0,1
Chelsea Taylor,5976,837,1.0,1
Chelsea Thomas,5663,842,1.0,0
Chelsea Thompson,1009,511,1.0,0
Chelsea Wallace,3326,1285,4.0,0
Chelsea Walters,3529,1316,2.0,0
Chelsea Ward,1649,830,2.0,0
Chelsea Watson,3699,795,1.0,0
Chelsea Wiggins,3722,1173,1.0,0
Chelsea Williams,8400,1032,1.0,1
Chelsey Adams,4452,1197,2.0,0
Chelsey Brown,3577,551,3.0,0
Chelsey Casey,2407,831,2.0,0
Chelsey Curry,2510,1256,0.0,0
Chelsey Harris,2770,638,2.0,1
Chelsey Hunter,6154,1197,4.0,0
Chelsey Johnson MD,4553,1079,1.0,0
Chelsey Montes,3472,1334,2.0,0
Chelsey Mosley,3647,1274,2.0,0
Chelsey Smith,6008,1246,4.0,0
Cheryl Aguilar,2405,1265,1.0,0
Cheryl Alvarado,6104,1349,2.0,0
Cheryl Alvarez,816,1337,2.0,0
Cheryl Anderson,4910,1349,2.0,0
Cheryl Bailey MD,2675,1352,4.0,0
Cheryl Baxter,9305,1204,3.0,1
Cheryl Brock,10148,1262,5.0,0
Cheryl Brown,10906,1277,5.0,1
Cheryl Campbell,632,922,1.0,0
Cheryl Campos,2966,916,3.0,0
Cheryl Carney,7521,1259,5.0,0
Cheryl Carr,1712,1301,2.0,0
Cheryl Carroll,6554,1150,4.0,0
Cheryl Castro,4669,1067,0.0,0
Cheryl Charles,917,860,0.0,0
Cheryl Chung,4244,1215,2.0,0
Cheryl Collier,4094,1242,2.0,1
Cheryl Collins,1941,947,1.0,0
Cheryl Cook,4274,1141,3.0,0
Cheryl Cortez,526,621,1.0,1
Cheryl Cruz,3780,451,3.0,0
Cheryl Davenport,5694,1144,2.0,1
Cheryl Davis,1140,194,0.0,0
Cheryl Diaz,2861,1097,1.0,0
Cheryl Dominguez,4819,1339,1.0,0
Cheryl Evans,6466,1314,3.0,0
Cheryl Everett,1992,1017,3.0,0
Cheryl Freeman,732,974,1.0,0
Cheryl Frye,2623,1025,0.0,0
Cheryl Fuller,3639,727,2.0,1
Cheryl Garcia,6116,1348,3.0,1
Cheryl Garrison,2572,1113,1.0,0
Cheryl Gilbert,4279,1190,0.0,0
Cheryl Gillespie,3971,1284,2.0,0
Cheryl Gomez,4875,1302,3.0,0
Cheryl Gould,3252,695,3.0,0
Cheryl Grant,4191,1041,6.0,0
Cheryl Green,2229,924,3.0,0
Cheryl Hale,5188,990,0.0,1
Cheryl Haley,1021,1268,1.0,0
Cheryl Harper,5170,1348,4.0,0
Cheryl Henry,1427,980,1.0,0
Cheryl Hernandez,2746,672,0.0,1
Cheryl Hill,5247,940,2.0,0
Cheryl Holt,2223,1164,1.0,0
Cheryl Jackson,3995,1004,1.0,1
Cheryl Jenkins,8706,1280,5.0,0
Cheryl Johnson,6405,1149,5.0,0
Cheryl Jones,5052,1120,0.0,0
Cheryl Juarez,3665,1333,1.0,0
Cheryl Knight,8891,1259,4.0,1
Cheryl Leon,2407,1155,1.0,0
Cheryl Lewis,2927,1042,4.0,0
Cheryl Martinez,2199,1177,2.0,0
Cheryl Mcgrath,4234,1115,0.0,1
Cheryl Mcknight,2555,502,1.0,0
Cheryl Meyer,6032,1352,2.0,1
Cheryl Miller,7779,788,2.0,0
Cheryl Monroe,1460,1063,1.0,1
Cheryl Morris,1437,402,2.0,0
Cheryl Nelson,7385,1340,3.0,1
Cheryl Obrien,1124,1333,2.0,1
Cheryl Olson,6219,1182,2.0,1
Cheryl Parks,4418,1336,0.0,1
Cheryl Peterson,6661,1345,3.0,1
Cheryl Petty,8331,1211,2.0,1
Cheryl Quinn,5667,1132,2.0,0
Cheryl Ramsey,5545,1040,3.0,0
Cheryl Ray,6882,1312,1.0,1
Cheryl Reynolds,8132,1178,4.0,1
Cheryl Rhodes,2780,1185,1.0,0
Cheryl Richardson,6065,1090,1.0,0
Cheryl Robertson,13914,1147,7.0,0
Cheryl Rodriguez,6012,1288,4.0,0
Cheryl Rodriguez DVM,5323,1325,2.0,0
Cheryl Ruiz,1702,328,1.0,0
Cheryl Salazar,2674,1347,0.0,1
Cheryl Smith,13818,1327,5.0,1
Cheryl Sutton,1794,1154,0.0,1
Cheryl Terry,1226,1047,1.0,0
Cheryl Thompson,1881,1273,2.0,0
Cheryl Townsend,6708,1156,2.0,0
Cheryl Tran,4941,1350,2.0,1
Cheryl Turner,3200,1289,2.0,0
Cheryl Vargas,3255,1353,1.0,1
Cheryl Warner,768,751,0.0,0
Cheryl Washington,7039,1287,4.0,0
Cheryl Watkins,2747,1234,3.0,0
Cheryl Wilson,6439,1163,2.0,0
Cheryl Wolf,4498,992,2.0,0
Cheryl Woods,1573,1237,2.0,0
Cheryl Wright,5860,835,0.0,0
Cheyenne Anderson,3016,775,2.0,0
Cheyenne Calderon,5470,1278,3.0,0
Cheyenne Chung,4680,1335,2.0,0
Cheyenne Cole,6747,1120,4.0,0
Cheyenne Henderson,3633,1288,0.0,0
Cheyenne Hernandez,7082,1342,4.0,1
Cheyenne Matthews,3270,1185,3.0,0
Cheyenne Morris,2783,1116,1.0,0
Cheyenne Paul,4419,1262,1.0,1
Cheyenne Richardson,5365,903,1.0,0
Cheyenne Scott,4963,1096,2.0,1
Cheyenne Sharp,1591,1009,1.0,1
Cheyenne Shields,9111,1038,2.0,1
Cheyenne Smith,6385,1022,2.0,0
Cheyenne Sweeney,4660,753,2.0,0
Cheyenne Thomas,3391,1198,0.0,0
Cheyenne Torres,8445,1301,4.0,0
Chloe Arroyo,6215,1246,3.0,0
Chloe Brown,3901,1152,3.0,0
Chloe Ellis,3695,1185,1.0,0
Chloe Flores,5354,1256,3.0,0
Chloe Goodman,456,1205,1.0,0
Chloe Green,1091,1348,1.0,0
Chloe Hawkins,4802,1075,3.0,0
Chloe Jones,3649,1330,3.0,0
Chloe King,3315,1184,0.0,0
Chloe Mendoza,4203,868,4.0,0
Chloe Norris,6338,1282,2.0,0
Chloe Smith,1815,229,1.0,0
Chloe Woods,6043,1189,4.0,0
Chris Brown,1767,1123,2.0,0
Chris Burke,13891,1110,5.0,0
Chris Byrd,3434,826,4.0,0
Chris Campos,2192,998,2.0,1
Chris Carter,6493,1325,7.0,0
Chris Castro,5985,1236,4.0,0
Chris Chapman,6791,1297,2.0,0
Chris Clements III,2583,1343,2.0,1
Chris Cline,4713,1348,1.0,0
Chris Dalton,852,1241,1.0,0
Chris Delgado,340,585,1.0,0
Chris Ellis,5775,1235,2.0,0
Chris Gallegos,4412,1326,2.0,0
Chris Green,7800,1101,1.0,0
Chris Hendricks,486,617,1.0,0
Chris Hendrix,5990,1040,0.0,0
Chris Luna,3782,971,2.0,1
Chris Miller,1828,833,1.0,0
Chris Mitchell,6634,1284,2.0,0
Chris Mooney,7920,1078,3.0,0
Chris Novak,1380,963,0.0,1
Chris Ortiz MD,1978,1175,1.0,1
Chris Patel,1592,1296,2.0,0
Chris Rose,504,909,2.0,0
Chris Santiago,1076,1142,1.0,0
Chris Silva MD,6019,1331,4.0,0
Chris Smith,864,764,0.0,0
Chris Taylor,4199,1171,2.0,1
Chris Travis,1479,849,1.0,0
Chris Walker,1516,1259,1.0,0
Chris Wang,50,529,0.0,0
Chris Weaver,2737,633,0.0,0
Chris West,5234,1201,3.0,0
Chris Williams,2230,1311,2.0,0
Chris Wolfe,3885,857,1.0,1
Chris Wright,1994,890,2.0,0
Chris York,1899,1191,2.0,0
Christian Allen,2877,1041,1.0,1
Christian Alvarez,4503,1157,2.0,0
Christian Ayers,2319,889,4.0,1
Christian Baker,5269,1125,3.0,1
Christian Barker,4650,646,2.0,0
Christian Barnett,3727,871,1.0,0
Christian Becker,4944,1265,1.0,0
Christian Brooks,2320,1007,3.0,0
Christian Brown,7680,1313,6.0,1
Christian Buckley,5571,1208,3.0,0
Christian Burnett,6580,1309,3.0,0
Christian Caldwell,3199,1018,1.0,0
Christian Campbell,1083,359,1.0,0
Christian Chandler,2868,1080,4.0,0
Christian Clark,6546,1314,6.0,0
Christian Cook,2149,1305,4.0,0
Christian Cox,1408,1317,0.0,0
Christian Douglas,3681,1044,2.0,0
Christian Duncan,7950,1246,2.0,0
Christian English,4912,969,2.0,0
Christian Fuller,2802,1120,3.0,0
Christian Gallagher,4815,1344,4.0,1
Christian Garcia,3040,1350,3.0,0
Christian Gonzalez,5168,1275,4.0,0
Christian Goodwin,1451,1292,1.0,0
Christian Gordon,2316,1029,2.0,0
Christian Green,2475,1320,3.0,0
Christian Greene,11687,1350,6.0,0
Christian Hale,4619,1342,3.0,0
Christian Hall,1495,847,2.0,0
Christian Hanson,2686,812,1.0,0
Christian Harris,1032,701,2.0,0
Christian Hernandez,4751,1197,3.0,0
Christian Hill,12560,1266,7.0,0
Christian Hughes,2898,1042,0.0,0
Christian Lamb,4734,973,2.0,1
Christian Lopez,3446,1040,2.0,0
Christian Manning,3710,1328,4.0,0
Christian Marshall,4949,1240,2.0,1
Christian Martinez,5114,1319,3.0,0
Christian May,3446,1097,1.0,1
Christian Michael,4391,1324,4.0,0
Christian Miller,9155,1085,6.0,1
Christian Montoya,4246,1302,2.0,0
Christian Nielsen,3350,844,1.0,0
Christian Nixon,3462,1105,5.0,0
Christian Oneal,5937,1287,3.0,0
Christian Park,3125,1246,2.0,0
Christian Ponce,4233,872,5.0,0
Christian Ramos,1556,799,1.0,0
Christian Randall,9352,1348,3.0,0
Christian Ray,4188,1085,1.0,0
Christian Richmond,4736,1230,1.0,0
Christian Rodriguez,2536,1197,2.0,1
Christian Rogers,3060,1039,3.0,0
Christian Saunders,2456,1172,4.0,0
Christian Shepard,6049,1201,1.0,0
Christian Smith,17028,1332,4.0,1
Christian Spears,2496,1348,1.0,0
Christian Thompson,4097,1152,1.0,0
Christian Turner,2322,1118,2.0,0
Christian Walker,3788,1015,2.0,0
Christian Wang,4129,1227,4.0,1
Christian Ward,1811,1348,2.0,1
Christian Washington,6371,1285,2.0,0
Christian Watson,6393,1117,5.0,0
Christie Guzman,4101,1268,1.0,0
Christie Ingram,3621,1053,1.0,0
Christie Obrien,2402,1196,3.0,1
Christie Perry,1786,1250,1.0,0
Christie Turner,1350,558,0.0,0
Christie Wood,4923,1029,1.0,0
Christina Adams,700,1229,1.0,0
Christina Aguirre,2918,638,2.0,0
Christina Allen,3701,1345,1.0,1
Christina Andersen,2040,1333,3.0,0
Christina Barnes,2699,1035,1.0,0
Christina Bates,4882,1223,2.0,0
Christina Berry,8619,1064,4.0,0
Christina Bradley,6256,1297,2.0,0
Christina Branch,8045,1138,2.0,0
Christina Brewer,6588,872,2.0,0
Christina Brown,755,1188,0.0,0
Christina Buck,2639,491,0.0,0
Christina Cannon,3848,1191,0.0,0
Christina Chan,3827,1177,3.0,0
Christina Chapman,1943,1051,2.0,0
Christina Charles,2836,954,3.0,0
Christina Chavez,4440,1218,1.0,0
Christina Chen,1981,1045,1.0,0
Christina Cline,3523,1138,3.0,0
Christina Collins,5419,1269,3.0,0
Christina Costa DVM,407,634,1.0,0
Christina Cox,2577,1234,3.0,1
Christina Crawford,3178,1295,3.0,0
Christina Crosby,6415,1281,3.0,1
Christina Cruz,6096,1157,3.0,1
Christina Daniels,3247,1137,1.0,1
Christina Davidson,3203,144,0.0,0
Christina Davis,9309,1332,5.0,1
Christina Day,1140,1017,0.0,0
Christina Delgado,12160,1230,5.0,0
Christina Dyer,1103,276,1.0,0
Christina Ellison,3064,1082,0.0,0
Christina Esparza,396,1271,0.0,0
Christina Fisher,5254,1347,4.0,1
Christina Fitzgerald,6642,832,0.0,0
Christina Flores,4463,1285,0.0,0
Christina Foster,12289,1285,7.0,0
Christina Fox,7241,1324,2.0,0
Christina Frederick,3392,825,2.0,1
Christina Friedman,3059,1170,3.0,0
Christina Garcia,7522,1226,4.0,0
Christina George,1091,1346,2.0,0
Christina Gilbert,2563,1283,3.0,0
Christina Gonzalez,7352,1207,4.0,0
Christina Gordon,5284,997,1.0,1
Christina Gould,3412,1186,1.0,0
Christina Gray,2790,1331,4.0,0
Christina Green,3148,1326,2.0,0
Christina Griffin,9094,1351,4.0,0
Christina Hall,7078,1349,3.0,0
Christina Hamilton,3583,1233,2.0,0
Christina Harding,5714,1244,3.0,1
Christina Harris,5949,1336,4.0,0
Christina Hayes,1398,841,1.0,0
Christina Hernandez,6689,1321,2.0,0
Christina Hickman,2949,1231,4.0,1
Christina Holland,2238,767,4.0,0
Christina Holt,4775,1342,4.0,0
Christina Howard,4410,1322,3.0,1
Christina Hurst,294,720,1.0,0
Christina Jackson,8027,1234,4.0,0
Christina Jacobson,1357,1125,4.0,0
Christina Jarvis,7837,1066,3.0,0
Christina Jenkins,6036,1160,3.0,0
Christina Johnson,12267,1242,3.0,1
Christina Johnston,8110,1313,5.0,0
Christina Jones,5284,1331,3.0,0
Christina Kane,8644,1314,6.0,0
Christina Kennedy,4116,739,3.0,0
Christina Kerr,4401,1221,2.0,0
Christina King,6596,1028,5.0,0
Christina Knight,3110,1282,1.0,0
Christina Kramer,7551,1350,5.0,0
Christina Lee,10048,1296,5.0,1
Christina Lester,3376,1223,2.0,1
Christina Lewis,5444,1255,3.0,0
Christina Little,1943,1329,1.0,0
Christina Lopez,9439,1272,3.0,0
Christina Madden,2305,1327,4.0,0
Christina Marshall,2177,742,2.0,0
Christina Mcbride,2943,1095,1.0,0
Christina Mcmillan,2032,744,2.0,0
Christina Medina,6057,1145,4.0,0
Christina Miller,14261,1347,8.0,0
Christina Moore,11306,1347,5.0,1
Christina Moreno,6534,1258,1.0,0
Christina Morgan,3554,1254,0.0,1
Christina Morris,9343,1201,5.0,0
Christina Morrison,4181,1250,2.0,0
Christina Morton,1245,809,0.0,1
Christina Murphy,3853,1221,2.0,0
Christina Nguyen,5496,1288,2.0,0
Christina Nielsen,6720,1153,2.0,0
Christina Norman,3934,1141,1.0,0
Christina Oconnor,6760,1324,2.0,1
Christina Oneill,3293,1325,1.0,0
Christina Ortiz,12111,1295,5.0,0
Christina Patterson,2661,1133,3.0,0
Christina Patton DDS,5294,1174,2.0,0
Christina Pena,4682,1277,2.0,0
Christina Perez,10375,1218,5.0,1
Christina Phelps,8073,1301,5.0,0
Christina Phillips,5486,1271,3.0,0
Christina Pittman,5732,1313,4.0,1
Christina Powell,5373,1342,1.0,0
Christina Powers,2727,1184,4.0,0
Christina Pratt,3758,994,4.0,0
Christina Price,5811,1283,2.0,0
Christina Pruitt,6386,1342,3.0,0
Christina Quinn,4168,880,1.0,0
Christina Reilly,1683,1189,2.0,1
Christina Reyes,567,364,0.0,1
Christina Rios,3856,1321,1.0,0
Christina Rivera,4043,937,3.0,0
Christina Roberson DDS,3943,1335,3.0,1
Christina Robertson,4207,1234,2.0,0
Christina Rodgers,1179,558,2.0,0
Christina Rodriguez,3354,1252,4.0,0
Christina Romero,9339,850,4.0,0
Christina Rose,12727,1309,1.0,0
Christina Salas,1232,1321,2.0,0
Christina Sanders,3917,1198,3.0,1
Christina Santos,1873,1150,1.0,0
Christina Schultz,4360,672,1.0,0
Christina Scott,2346,1257,2.0,1
Christina Shaffer,4774,1222,4.0,0
Christina Sheppard,5388,1028,1.0,0
Christina Smith,2843,734,2.0,1
Christina Snyder,4084,572,0.0,0
Christina Sparks,9067,1329,2.0,0
